feature_type,property,property_short,feature,importance,n_labels,normalized_importance,feature_pretty
functional-group descriptor,HeatCapacity,HC,Cat: sulfate,0.0,192,0.0,Cat: sulfate
functional-group descriptor,HeatCapacity,HC,Cat: sulfonate,0.0,192,0.0,Cat: sulfonate
functional-group descriptor,HeatCapacity,HC,Cat: sulfonium,0.0,192,0.0,Cat: sulfonium
functional-group descriptor,HeatCapacity,HC,Cat: sulfonyl,0.0,192,0.0,Cat: sulfonyl
functional-group descriptor,HeatCapacity,HC,Cat: thioether,0.0,192,0.0,Cat: thioether
functional-group descriptor,HeatCapacity,HC,Pair: alkyl_chain_length_difference,0.061201611587118045,192,0.08525451826145984,Pair: alkyl chain length difference
functional-group descriptor,HeatCapacity,HC,Pair: alkyl_chain_length_sum,0.10153312101222885,192,0.14143675460503818,Pair: alkyl chain length sum
functional-group descriptor,HeatCapacity,HC,Pair: ammonium_halide_pair,0.0004295256221666932,192,0.0005983339171820592,Pair: ammonium halide pair
functional-group descriptor,HeatCapacity,HC,Pair: anion_hbd_cation_hba,2.697299976262002e-05,192,3.757368541766738e-05,Pair: anion hbd cation hba
functional-group descriptor,HeatCapacity,HC,Pair: anion_positive_cation_negative,0.0,192,0.0,Pair: anion positive cation negative
functional-group descriptor,HeatCapacity,HC,Pair: cation_aromatic_anion_aromatic,0.0011537591829740752,192,0.0016071992351733128,Pair: cation aromatic anion aromatic
